region,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Osby,649,5258,791,767,-290,-1279,886,3099,2770,1124,421,1559,1292,1032,1295,936,-845,-4453,1870,2460,869,2039,2380,2797
Perstorp,-1284,-993,-697,-256,-578,-124,77,772,837,1069,234,630,1396,902,1148,1092,143,1136,1441,1826,1610,-7356,3536,3259
Klippan,-153,-2312,-5173,30,10996,-476,231,661,1133,538,717,1052,1278,142,481,-379,3,517,1008,1605,2426,2099,815,2830
Astorp,494,5323,702,0,-552,1015,-140,1195,2907,-7020,913,1173,1516,572,1649,2482,1148,804,412,-6,1492,2274,2306,4785
Bastad,-235,602,-132,396,237,-296,330,930,1164,401,-662,1261,2479,545,810,1391,727,462,1009,1113,1018,268,3393,6324
Malmo,-118,-1064,476,10453,1471,209,933,1695,2783,1366,1581,2020,1726,1625,626,492,-470,1746,2929,3323,2716,2566,3444,4040
Lund,-205,-100,1956,221,-49,-8,172,2242,1729,-93,462,1001,1907,-159,1039,1910,122,1242,869,1351,392,-166,3357,4698
Landskrona,456,-788,691,26470,-305,-1309,1717,1573,1740,1639,375,1483,-2189,8727,922,1124,660,2003,1602,8436,610,2225,5956,9693
Helsingborg,1379,1458,1392,169,-112,122,851,1440,1675,21124,4184,1639,-726,1244,2733,2803,930,631,1418,1771,2655,1730,4203,5294
Hoganas,-6,-513,572,1360,388,145,32,194,536,2155,1510,2571,2207,372,2501,2285,530,852,567,1044,1583,1189,2058,4831
Eslov,495,1125,382,874,296,259,540,957,1451,728,35,524,1937,905,3580,1990,661,1601,1449,2145,1124,1325,2190,4669
Ystad,606,499,597,686,451,-369,9564,1791,2289,1155,1631,1366,2162,508,1556,1249,670,444,1141,1286,-43,548,2093,2502
Trelleborg,941,1418,1257,1105,498,574,547,790,1708,1012,813,629,1013,1665,1652,762,319,-27,865,1135,6151,1607,8586,5471
Kristianstad,416,663,1072,1095,1141,177,-255,304,13446,661,444,1088,1535,146,686,679,423,127,738,2066,1284,902,2888,5014
Simrishamn,1431,-680,-108,-804,-873,1194,768,1410,1648,2890,971,898,1693,277,556,1203,391,658,2811,2160,390,1455,4257,6220
Angelholm,-410,347,808,737,388,163,-71,657,2010,2179,1165,2077,1399,9495,313,1462,251,389,-6440,1452,1000,1237,3017,4573
Hassleholm,7441,551,545,285,-525,1272,879,1792,1045,793,39,1589,3251,883,1003,622,238,549,1741,1140,805,1540,2565,4239
Hylte,-4701,-949,396,1052,566,-1394,-1766,468,874,302,880,1525,1156,250,270,556,1148,1926,4971,2100,-1354,-574,1283,1487
Halmstad,555,2573,1193,6431,-378,866,1069,3053,4374,3820,820,5452,2416,2514,1291,2647,1324,1082,1226,2271,556,2844,4392,5067
Laholm,-65,399,50,443,-30,-741,-263,529,1660,615,-8,1544,2516,1397,1015,1753,687,542,1240,1169,987,545,2587,1552
